Particle, PH, ToF, MCP PH
p577, 17.545721, 76.476776, 38.918335
p577, 16.139862, 75.218231, 25.92
p577, 17.047964, 75.464141, 71.832778
p577, 16.881414, 69.370452, 20.42
p577, 16.97533, 72.578918, 32.721668
p577, 16.497106, 70.237548, 35.639999
p577, 16.942554, 74.388641, 51.076667
p577, 16.907733, 71.606414, 97.376579
p577, 16.921917, 71.435455, 19.836666
p577, 16.862871, 74.398437, 84.576797
p577, 17.19322, 77.720123, 38.119998
p577, 17.341672, 72.611175, 36.692855
p577, 17.009437, 74.704223, 50.012577
p577, 16.920824, 72.48117, 55.814762
p577, 16.767194, 74.232177, 33.943332
p577, 16.919023, 70.179565, 22.396667
p577, 16.546972, 72.8143, 9.043333
p577, 16.899568, 70.533691, 31.256666
p577, 16.932888, 57.201324, 29.846666
p577, 16.747928, 72.400787, 21.444522
p577, 16.739709, 74.029388, 27.320715
p577, 16.99929, 72.125701, 7.5766668
p577, 17.140928, 72.469055, 42.68346
p577, 16.602306, 81.5177, 57.740264
p577, 17.082918, 77.927154, 25.156429
p577, 16.925254, 69.788147, 133.95916
p577, 17.107381, 75.518096, 10.734999
p577, 16.339395, 72.004974, 52.773334
p577, 17.372407, 72.23703, 6.7649998
p577, 16.923412, 67.832519, 17.521667
p577, 16.810499, 73.077331, 58.792381
p577, 16.837314, 61.123809, 25.473333
p577, 16.534803, 72.817169, 26.36
p577, 16.549062, 61.655822, 23.608333
p577, 16.82057, 73.534362, 38.961666
p577, 16.856086, 70.077697, 23.399166
p577, 16.318079, 77.204681, 47.476665
p577, 17.029733, 74.823272, 61.503334
p577, 16.73693, 74.944671, 33.511665
p577, 16.770498, 77.352203, 52.388332
p577, 16.745315, 70.762725, 32.756668
p577, 16.889854, 73.88092, 20.425832
p577, 16.972904, 75.055236, 65.26667
p577, 16.224956, 73.575103, 32.263332
p577, 17.166374, 71.775726, 13.097857
p577, 16.704267, 75.734619, 60.729999
p577, 16.92003, 70.967712, 65.565956
p577, 16.536569, 70.412994, 12.055
p577, 16.786586, 72.852081, 18.27
p577, 16.861547, 75.570373, 66.019874
p577, 16.613699, 72.1156, 23.923334
p577, 17.137603, 74.085876, 23.008333
p577, 16.766164, 71.567627, 25.319999
p577, 16.450883, 71.086425, 25.934047
p577, 16.634441, 76.670288, 31.931667
p577, 17.083173, 74.886291, 37.38705
p577, 16.845581, 69.333648, 8.2833337
p577, 16.646341, 70.679351, 19.551666
p577, 16.808458, 71.511505, 7.7916665
p577, 16.449184, 75.147735, 17.354999
p577, 17.144105, 73.747131, 18.327858
p577, 16.737447, 72.185302, 68.336669
p577, 16.949783, 73.344909, 25.341667
p577, 17.078392, 73.183441, 60.136665
p577, 16.844715, 75.358459, 9.6666669
p577, 16.638576, 75.35202, 6.8745236
p577, 16.920728, 71.30429, 62.472896
p577, 17.312303, 77.790344, 31.199762
p577, 16.864742, 70.130432, 38.549999
p577, 16.890451, 71.924285, 36.016666
p577, 16.40508, 77.52246, 40.455001
p577, 16.966224, 72.829467, 30.530714
p577, 16.891841, 78.283081, 39.373333
p577, 16.956979, 77.213653, 11.828332
p577, 16.957563, 70.876434, 28.366666
p577, 17.122169, 76.284027, 22.518333
p577, 17.380222, 75.189605, 29.601667
p577, 16.995939, 74.890777, 36.568332
p577, 17.09272, 71.353241, 17.559848
p577, 16.712932, 75.570129, 49.013332
p577, 16.968391, 75.944335, 32.009998
p577, 17.417583, 70.546051, 59.236667
p577, 16.824443, 69.3768, 5.6283335
p577, 16.775804, 70.717651, 74.04
p577, 16.680295, 72.861022, 38.036666
p577, 16.475233, 77.547912, 57.812915
p577, 16.662466, 73.495636, 10.9825
p577, 16.915985, 76.357666, 21.153333
p577, 16.730184, 73.547485, 51.749584
p577, 16.822547, 70.390441, 23.084999
p577, 17.171808, 76.328735, 31.192575
p577, 16.736078, 75.402435, 22.004999
p577, 16.891092, 70.164062, 90.921669
p577, 16.565269, 74.211303, 20.185833
p577, 16.97657, 70.02771, 27.375
p577, 17.070777, 78.097229, 21.43
p577, 16.868719, 72.611419, 5.8916668
p577, 16.808103, 74.885253, 25.519166
p577, 16.908819, 73.859771, 28.616666
p577, 16.780742, 69.864349, 15.301666
p577, 16.912832, 78.837585, 11.681666
p577, 16.66279, 71.92987, 21.618333
p577, 16.955375, 69.793212, 30.013462
p577, 16.446992, 77.803192, 13.508333
p577, 16.899179, 71.803863, 55.273334
p577, 16.733089, 71.155548, 26.316667
p577, 16.548774, 72.692688, 39.029998
p577, 17.26231, 70.053375, 51.072391
p577, 16.653871, 75.544708, 25.84106
p577, 16.926347, 72.052368, 7.3683333
p577, 17.020769, 78.177093, 120.76596
p577, 17.103399, 74.625549, 43.508335
p577, 17.249885, 71.855285, 45.101665
p577, 16.444564, 71.4216, 28.475
p577, 16.628149, 77.622955, 23.309999
p577, 17.058183, 67.467376, 7.6983332
p577, 17.058544, 77.195007, 21.129999
p577, 16.991489, 70.428436, 24.024999
p577, 17.374744, 74.420227, 55.211666
p577, 17.400402, 73.34201, 26.366666
p577, 16.547758, 77.501953, 50.546211
p577, 17.104507, 67.986358, 19.208334
p577, 16.729257, 75.530792, 52.773334
p577, 16.11461, 71.30429, 26.704999
p577, 17.15166, 71.52069, 31.286666
p577, 16.982051, 70.667938, 25.518333
p577, 16.567771, 73.180358, 19.087726
p577, 16.569145, 69.753723, 28.978332
p577, 16.932899, 74.409729, 22.56738
p577, 16.951955, 72.130218, 5.2616667
p577, 17.015165, 74.868377, 16.725
p577, 16.785831, 76.48764, 17.111665
p577, 16.715324, 71.035919, 39.692501
p577, 16.95058, 71.613494, 39.662498
p577, 16.819023, 71.826324, 85.136901
p577, 16.855665, 69.409698, 64.286567
p577, 17.230817, 72.836517, 6.625
p577, 16.829484, 73.998504, 30.909048
p577, 16.963722, 78.043365, 31.245
p577, 16.822456, 72.682037, 9.8983335
p577, 17.142667, 73.932495, 81.448791
p577, 16.649545, 74.635559, 83.930503
p577, 16.53239, 70.310974, 33.406665
p577, 16.624668, 75.131408, 9.5464286
p577, 16.946189, 70.491455, 13.328332
p577, 16.994279, 73.246673, 6.0566668
p577, 17.397312, 75.749847, 49.312381
p577, 16.798206, 76.52716, 5.1350002
p577, 16.660789, 73.246917, 33.426666
p577, 16.794136, 76.367431, 7.6866664
p577, 16.92361, 72.802887, 222.65167
p577, 16.729108, 66.885833, 25.305833
p577, 16.726903, 77.209411, 10.339848
p577, 16.758495, 73.902618, 28.038333
p577, 16.856206, 75.225555, 32.506191
p577, 16.86561, 72.970092, 42.131668
p577, 16.881523, 72.839721, 30.597381
p577, 16.999696, 76.545379, 30.049242
p577, 16.979297, 70.944152, 19.608333
p577, 16.995775, 76.564605, 9.9516668
p577, 16.616041, 74.498443, 29.451665
p577, 16.587877, 72.23468, 50.474998
p577, 16.852117, 72.40805, 45.814609
p577, 16.609373, 77.238586, 20.665
p577, 17.104801, 70.587371, 12.033333
p577, 16.905262, 78.743225, 40.270385
p577, 16.709209, 75.940246, 15.398333
p577, 16.464977, 78.573547, 39.19318
p577, 16.617778, 75.060638, 89.665725
p577, 16.932758, 75.384368, 22.301666
p577, 17.326919, 72.840393, 30.301666
p577, 17.070299, 72.051452, 8.8183336
p577, 16.931795, 73.371002, 34.589847
p577, 16.166317, 76.178527, 12.925
p577, 16.698503, 74.830291, 24.034999
p577, 16.962354, 70.042114, 8.7216663
p577, 17.135637, 74.09732, 12.543333
p577, 16.769092, 76.387115, 73.275001
p577, 17.176204, 74.233612, 21.951665
p577, 17.084617, 72.911773, 61.624607
p577, 16.960626, 72.683929, 43.032367
p577, 16.726545, 76.016571, 17.065
p577, 16.9081, 76.374755, 6.855
p577, 16.623161, 71.496368, 48.246666
p577, 17.111043, 65.674041, 19.263334
p577, 17.23154, 71.523559, 35.831665
p577, 17.311586, 66.215515, 21.597381
p577, 17.063379, 70.868072, 21.283332
p577, 16.643983, 75.779876, 72.635002
p577, 16.756969, 73.83023, 23.216667
p577, 16.658041, 73.774261, 37.429241
p577, 17.248098, 74.432312, 6.5016665
p577, 16.493711, 71.529449, 47.491664
p577, 16.673511, 74.039215, 11.425
p577, 17.05624, 75.636505, 25.34
p577, 16.561714, 73.012847, 27.644523
p577, 16.606515, 70.976806, 18.812879
p577, 17.073722, 77.570312, 39.348331
p577, 16.363828, 71.273529, 18.783332
p577, 16.953964, 80.015869, 25.933332
p577, 16.751918, 65.334899, 47.269241
p577, 17.013816, 71.709045, 39.393333
p577, 16.800622, 73.40271, 29.848333
p577, 16.819894, 73.844879, 65.682914
p577, 17.027259, 73.607666, 33.357856
p577, 16.607074, 73.432189, 33.054523
p577, 16.675453, 68.191589, 26.924999
p577, 17.027952, 72.609924, 84.557754
p577, 16.756683, 74.234863, 13.726666
p577, 16.529794, 75.647583, 7.0316667
p577, 16.639377, 74.1138, 54.130001
p577, 17.180807, 78.366546, 11.579999
p577, 16.360963, 73.481384, 28.944999
p577, 16.87833, 72.756469, 16.379999
p577, 16.745449, 74.112182, 33.558845
p577, 16.884819, 75.16394, 36.943332
p577, 17.475324, 75.046295, 22.769762
p577, 17.100902, 68.419097, 89.056663
p577, 16.982606, 67.820526, 21.612178
p577, 16.983591, 76.854431, 34.136665
p577, 16.704628, 76.705261, 51.98476
p577, 16.850988, 70.1734, 41.346668
p577, 16.933486, 73.727478, 56.25
p577, 17.135721, 73.725341, 19.989761
p577, 16.966032, 75.293701, 41.569999
p577, 16.984592, 74.610717, 27.698724
p577, 17.222951, 76.399231, 26.545
p577, 16.595586, 78.513244, 32.568332
p577, 17.080596, 77.481231, 164.87704
p577, 16.71062, 74.300079, 5.3216667
p577, 16.643688, 72.980529, 35.901668
p577, 17.020288, 71.863159, 28.843334
p577, 17.188417, 71.133331, 76.877174
p577, 16.775728, 67.946075, 60.465
p577, 16.913808, 66.648284, 37.023334
p577, 16.874391, 75.519897, 48.576667
p577, 16.707496, 72.329315, 45.665
p577, 16.465564, 75.770263, 19.678094
p577, 16.798757, 75.063446, 20.36
p577, 17.09663, 70.456329, 27.468334
p577, 17.145162, 69.091888, 21.554048
p577, 16.619257, 74.241516, 24.711061
p577, 16.878036, 76.444824, 24.985
p577, 17.211647, 72.560913, 42.196579
p577, 16.654182, 70.541626, 45.889999
p577, 17.269052, 76.108123, 11.686666
p577, 16.820032, 70.053192, 42.711666
p577, 16.861385, 72.651489, 16.59
p577, 17.078611, 75.772308, 21.170713
p577, 16.754266, 74.506591, 9.0916662
p577, 17.025777, 67.485412, 30.611665
p577, 16.635284, 76.108947, 38.174049
p577, 16.983898, 71.37619, 34.973182
p577, 17.194433, 76.200958, 87.487503
p577, 17.060056, 76.00357, 10.506667
p577, 16.720888, 72.077117, 40.81924
p577, 17.289264, 71.30487, 56.533332
p577, 16.769369, 75.195831, 66.769584
p577, 16.532413, 75.694427, 15.870714
p577, 16.949796, 74.557373, 47.636665
p577, 16.857311, 71.592315, 13.983333
p577, 16.636364, 74.462463, 40.351665
p577, 16.536184, 75.997009, 19.118333
p577, 16.908466, 75.510803, 30.581666
p577, 17.170593, 77.503662, 31.032917
p577, 17.149745, 70.868042, 65.226669
p577, 16.975309, 77.48352, 26.588136
p577, 16.648851, 70.894653, 39.605304
p577, 16.659999, 74.519043, 42.650001
p577, 16.459381, 75.796264, 5.7266664
p577, 16.278913, 74.285156, 18.776666
p577, 17.371835, 69.350219, 43.651668
p577, 16.817466, 69.815368, 42.102916
p577, 16.858869, 70.455993, 18.135
p577, 16.151779, 75.244812, 24.1525
p577, 16.842395, 68.707336, 25.476514
p577, 17.128507, 73.350463, 31.213333
p577, 17.141569, 80.301788, 13.614999
p577, 16.742067, 71.839721, 10.471666
p577, 16.929079, 74.499572, 73.309288
p577, 16.892942, 78.580841, 16.275833
p577, 16.919586, 66.79898, 23.094047
p577, 17.001451, 73.921722, 13.46
p577, 16.606651, 72.076202, 25.16119
p577, 16.615114, 69.517852, 30.639999
p577, 16.788168, 76.656402, 48.334999
p577, 16.688848, 76.122589, 22.341667
p577, 17.184267, 77.00064, 23.79
p577, 16.736055, 75.416534, 19.833334
p577, 16.202655, 68.242736, 23.003334
p577, 16.875816, 71.92395, 29.67
p577, 16.659727, 82.473877, 22.203332
p577, 16.914915, 79.946411, 8.4799995
p577, 16.619688, 76.983276, 27.991666
p577, 16.647434, 76.61795, 22.173334
p577, 16.734609, 79.365966, 20.783332
p577, 16.694633, 72.890502, 55.911666
p577, 16.588396, 68.903686, 9.0249996
p577, 16.303039, 71.862274, 20.478332
p577, 16.536647, 75.21286, 29.274999
p577, 17.204467, 73.021575, 8.247857
p577, 17.184782, 65.214233, 11.893333
p577, 17.046815, 75.180755, 38.474998
p577, 17.099792, 70.0513, 5.2083334
p577, 16.7366, 72.849823, 27.114522
p577, 16.7423, 110.64514, 5.1992425
p577, 16.744609, 76.093109, 17.289762
p577, 16.516277, 75.178619, 58.361152
p577, 16.965545, 74.661315, 47.481861
p577, 17.145387, 77.730621, 7.2266664
p577, 17.184919, 77.324768, 112.13311
p577, 17.019889, 74.260681, 19.468334
p577, 17.466142, 70.462646, 79.991668
p577, 17.207298, 74.042694, 44.158332
p577, 17.163072, 78.493988, 88.595176
p577, 17.469299, 74.425506, 48.379386
p577, 16.469272, 75.128814, 47.403331
p577, 16.37844, 75.733673, 40.174999
p577, 16.786069, 76.902435, 90.332145
p577, 16.812866, 80.813903, 74.531669
p577, 16.676879, 79.909912, 24.54
p577, 16.552602, 74.362823, 11.363333
p577, 17.028884, 72.828735, 28.704999
p577, 16.660306, 75.846984, 10.245833
p577, 17.238618, 73.59143, 87.339698
p577, 16.378208, 71.223236, 30.649999
p577, 17.444065, 71.009735, 23.311666
p577, 16.442247, 72.512481, 15.777727
p577, 16.765159, 70.405059, 106.11974
p577, 16.986387, 73.357605, 21.398332
p577, 16.932943, 72.965301, 26.051666
p577, 16.414167, 73.27951, 90.711029
p577, 16.851074, 71.543518, 6.3449997
p577, 16.696483, 69.956024, 5.1550002
