************************************
*   Event  *     PH    *    ToF    *
*   102785 * 59.456913 * 74.199737 *
*   102789 * 29.872419 * 76.458953 *
*   102790 * 59.309394 * 72.084381 *
*   102792 * 59.426353 * 72.762786 *
*   102794 * 59.453594 * 73.149261 *
*   102799 * 59.429210 * 74.838256 *
*   102801 * 59.216201 * 74.420166 *
*   102802 * 59.271530 * 74.536041 *
*   102804 * 59.241340 * 72.906463 *
*   102813 * 59.581867 * 73.919708 *
*   102814 * 58.955429 * 74.567840 *
*   102816 * 31.161319 * 77.563415 *
*   102817 * 59.511951 * 72.153503 *
*   102819 * 59.128650 * 73.270446 *
*   102823 * 59.272441 * 74.007232 *
*   102824 * 59.215042 * 73.339325 *
*   102825 * 59.724266 * 74.029754 *
*   102826 * 59.857963 * 71.944335 *
*   102830 * 59.472122 * 71.724090 *
*   102831 * 58.749759 * 73.830841 *
*   102833 * 59.320407 * 74.523101 *
*   102839 * 59.558063 * 73.059478 *
*   102840 * 59.288093 *   73.4263 *
*   102841 *  59.15242 * 73.149536 *
*   102842 * 59.793262 * 74.061004 *
*   102844 * 59.484642 * 74.095123 *
*   102846 * 58.902015 * 72.722351 *
*   102848 * 59.505218 * 74.782836 *
*   102853 * 59.945407 * 74.154144 *
*   102857 * 59.393569 * 73.983917 *
*   102858 * 59.207603 * 74.240387 *
*   102860 * 58.986579 * 74.203002 *
*   102861 * 59.246746 * 73.520568 *
*   102866 * 59.845157 * 74.442199 *
*   102867 * 59.532836 * 73.402313 *
*   102871 * 59.807140 * 72.836242 *
*   102872 * 59.432880 * 72.207336 *
*   102876 * 59.318115 * 72.967071 *
*   102879 * 59.774192 * 73.732788 *
*   102880 * 60.264595 * 73.361297 *
*   102881 * 59.311023 * 158.05062 *
*   102883 * 59.255031 * 75.573974 *
*   102885 * 59.305522 * 74.063140 *
*   102891 * 59.837230 * 73.671020 *
*   102895 * 59.062145 * 73.808898 *
*   102896 * 59.992008 * 71.580566 *
*   102897 * 58.473777 * 73.147674 *
*   102901 * 58.798458 * 73.148345 *
*   102905 * 58.839405 * 73.819458 *
*   102906 * 59.341877 * 73.494689 *
*   102908 * 59.949344 * 75.068054 *
*   102912 * 59.300556 * 73.503173 *
*   102913 * 58.977378 * 74.614593 *
*   102915 * 59.561103 * 72.944305 *
*   102917 * 59.136596 * 73.870575 *
*   102919 * 59.430847 * 74.393035 *
*   102921 * 58.563037 * 74.570922 *
*   102922 * 59.440090 * 74.443145 *
*   102923 * 58.982925 * 74.633911 *
*   102925 * 59.503002 * 73.400756 *
*   102926 * 59.202255 * 74.282104 *
*   102928 * 59.831592 *  73.91745 *
*   102933 * 59.120868 * 74.029846 *
*   102934 * 59.524288 * 74.276733 *
*   102937 * 59.251514 * 73.622406 *
*   102939 * 59.497352 * 72.640228 *
*   102940 * 59.389915 * 73.118530 *
*   102941 * 59.262371 * 73.601135 *
*   102942 * 59.558826 * 73.603698 *
*   102945 * 59.364181 * 72.423522 *
*   102955 * 59.566345 * 73.953979 *
*   102957 * 59.504215 * 72.757263 *
*   102958 * 59.128696 * 73.202636 *
*   102964 * 59.121650 * 73.881103 *
*   102965 * 59.603126 * 74.303680 *
*   102967 * 59.586311 * 72.509307 *
*   102969 * 59.251972 * 72.197204 *
*   102970 * 59.158752 * 73.817749 *
*   102971 * 58.964790 * 74.399902 *
*   102973 * 59.537532 * 73.204345 *
*   102974 * 59.135917 * 74.844604 *
*   102977 * 59.229209 * 74.355926 *
*   102978 * 59.490528 * 125.28390 *
*   102983 * 59.424320 * 74.065002 *
*   102984 * 59.443424 * 73.985107 *
*   102987 * 59.273574 * 74.208160 *
*   102989 * 58.566833 * 73.544464 *
*   102991 * 59.134021 * 73.239532 *
*   102994 * 59.499149 * 75.586303 *
*   102997 * 59.495288 * 73.701171 *
*   103003 * 59.586410 * 74.528228 *
*   103004 * 59.729957 * 74.741272 *
*   103005 * 58.973735 * 73.367370 *
*   103009 * 59.833004 * 73.381378 *
*   103010 * 59.687431 * 74.665313 *
*   103011 * 59.541194 * 73.575195 *
*   103014 * 59.363094 * 73.149017 *
*   103015 * 59.048698 * 73.515136 *
*   103019 * 59.021060 * 74.467773 *
*   103020 * 58.781692 * 73.989349 *
*   103022 * 59.458419 * -1424.429 *
*   103024 * 59.411060 * 73.991821 *
*   103025 * 59.162376 * 74.591766 *
*   103026 * 59.764434 * 74.590911 *
*   103027 * 58.854759 * 75.390167 *
*   103031 * 59.534183 * -1204.327 *
*   103033 * 59.392261 * 73.000488 *
*   103036 * 58.754116 * 74.344818 *
*   103037 * 59.354053 * 73.163543 *
*   103038 * 59.010784 * 73.093933 *
*   103039 *  59.36903 * 74.219757 *
*   103046 * 59.922596 * 74.021667 *
*   103048 * 59.666858 * 73.490417 *
*   103049 * 59.188758 * 75.229339 *
*   103054 * 59.101341 * 74.192627 *
*   103056 * 59.822799 * 74.355773 *
*   103057 * 59.325454 * 73.856201 *
*   103059 * 59.694644 * 73.048034 *
*   103060 * 59.656581 * 73.991973 *
*   103061 * 59.261097 * 73.408264 *
*   103065 * 59.588691 * 73.734924 *
*   103068 * 59.000206 * 74.297668 *
*   103071 * 59.606319 *  73.42099 *
*   103074 * 59.539081 * 74.278259 *
*   103076 * 59.853427 * 72.507507 *
*   103077 * 59.463245 * 73.663635 *
*   103080 * 59.036129 * 73.175445 *
*   103082 * 59.537563 * 74.769287 *
*   103083 * 58.135894 * 74.858795 *
*   103085 * 59.234046 * 75.417480 *
*   103088 * 59.605587 * 73.502258 *
*   103093 * 59.367397 * 73.562439 *
*   103094 * 59.053371 * 73.291564 *
*   103095 * 59.605701 * 73.533447 *
*   103098 * 59.673801 * 73.908935 *
*   103104 * 59.144344 * 73.134399 *
*   103105 * 59.101657 * 75.211486 *
*   103106 * 59.541358 * 73.476318 *
*   103107 * 58.451694 * 73.158691 *
*   103109 * 59.552188 * 73.542877 *
*   103112 * 59.409221 * 74.894958 *
*   103113 * 59.637901 * 73.990905 *
*   103116 * 59.103595 * 73.994689 *
*   103117 * 59.497951 * 75.108734 *
*   103124 * 59.193351 * 73.688934 *
*   103128 * 58.693092 * 73.843933 *
*   103129 * 59.688648 * 72.729797 *
*   103130 * 59.556964 * 72.643249 *
*   103134 * 59.608146 * 73.323638 *
*   103140 * 59.259967 * 72.017272 *
*   103143 * 59.821464 * 73.737335 *
*   103145 * 59.798858 * 74.291442 *
*   103150 * 58.953693 * 73.158081 *
*   103151 * 59.641338 * 74.604980 *
*   103153 * 59.356285 * 73.528991 *
*   103154 * 59.058910 * 73.729522 *
*   103155 * 59.220378 * 73.063324 *
*   103156 * 59.670429 * 74.020843 *
*   103157 * 59.217708 * 74.539672 *
*   103158 *  59.47089 * 73.241912 *
*   103160 * 59.475578 * 75.506073 *
*   103163 * 59.402065 * 74.454162 *
*   103164 * 60.217540 * 74.541992 *
*   103167 * 59.405304 * 74.043670 *
*   103172 * 59.320983 * 72.892120 *
*   103173 * 59.276638 * 73.194152 *
*   103175 * 59.239677 * 75.232330 *
*   103176 * 59.087680 * 73.697174 *
*   103178 * 59.519580 * 72.950378 *
*   103184 * 59.240024 * 73.551055 *
*   103185 * 59.700214 * 74.131897 *
*   103191 * 59.014251 * 74.428894 *
*   103193 * 59.109630 * 74.423553 *
*   103195 * 59.578983 * 74.775695 *
*   103196 * 59.185100 * 74.823059 *
*   103199 * 58.583545 * 73.408935 *
*   103201 * 59.250999 * 73.769531 *
*   103205 * 59.321022 * 74.236572 *
*   103206 * 59.223758 * 73.120330 *
*   103207 * 59.135868 * 73.096344 *
*   103208 * 58.943637 * 73.854370 *
*   103210 * 59.121021 * 73.824493 *
*   103214 * 58.994949 * 73.934295 *
*   103216 * 58.806121 * 74.095367 *
*   103219 * 59.318546 * 74.270477 *
*   103222 * 59.706012 * 74.813232 *
*   103224 * 59.869331 * 73.528015 *
*   103225 * 59.153610 * 74.257690 *
*   103227 * 59.337013 * 73.022613 *
*   103228 * 59.949867 * 73.215423 *
*   103231 * 59.178642 * 73.255920 *
*   103232 * 59.383476 * 73.151184 *
*   103233 * 59.265857 * 73.538177 *
*   103235 * 59.408050 * 73.973205 *
*   103236 * 58.848476 * 73.844421 *
*   103238 * 59.302772 * 74.260406 *
*   103239 * 59.181327 * 74.719787 *
*   103243 * 59.404048 * 74.789611 *
*   103244 * 59.420566 * 74.109100 *
*   103245 * 59.483287 * 73.495208 *
*   103247 * 59.122360 * 74.980896 *
*   103248 * 59.373233 * 73.723754 *
*   103249 * 59.155803 * 74.457428 *
*   103253 * 59.563007 * 73.703735 *
*   103254 * 59.063003 * 74.654754 *
*   103259 * 59.669113 * 73.196106 *
*   103262 * 59.661754 * 73.873382 *
*   103266 * 59.186878 * 73.504272 *
*   103268 * 59.655063 * 74.416137 *
*   103271 * 59.617355 * -191.1046 *
*   103274 * 59.772827 * 72.676818 *
*   103275 * 59.758640 * 74.732482 *
*   103277 * 59.399025 * 73.751556 *
*   103283 * 59.752666 * 72.369079 *
*   103284 * 59.527076 * 74.492401 *
*   103287 * 59.107887 * 73.026763 *
*   103289 * 59.467716 * 73.360900 *
*   103290 * 59.684925 * 72.197601 *
*   103291 * 59.271404 * 74.732360 *
*   103293 * 59.020332 * 72.481292 *
*   103294 * 59.267681 * 73.337585 *
*   103295 * 59.954597 * 395.75772 *
*   103296 * 58.887996 * 73.190795 *
*   103297 * 58.926563 * 72.416412 *
*   103305 * 59.434101 * 74.673004 *
*   103307 * 59.048366 * 73.537048 *
*   103309 * 59.324279 * 74.287078 *
*   103312 * 59.583473 * 72.716552 *
*   103313 * 59.367317 * 72.305450 *
*   103316 * 59.584129 * 74.243225 *
*   103317 * 59.697845 * 74.671661 *
*   103324 * 58.989894 * 73.170837 *
*   103325 * 59.315399 * 73.539428 *
*   103330 * 59.401390 * 73.964386 *
*   103332 * 59.184246 * 73.144653 *
*   103333 * 59.699420 * 73.848022 *
*   103336 * 59.769218 * 72.977996 *
*   103337 * 59.274734 * 73.469909 *
*   103342 * 59.719642 * 73.283783 *
*   103345 * 59.415924 * 72.243743 *
*   103347 * 59.239158 * 74.388549 *
*   103348 * 59.487922 * 74.168762 *
*   103351 * 59.458801 * 73.987274 *
*   103352 * 58.506626 * 73.510009 *
*   103354 * 59.573608 * 75.043090 *
*   103358 * 58.832290 * 74.565246 *
*   103365 * 59.176685 * 74.080932 *
*   103367 * 59.409503 * 73.684539 *
*   103371 * 59.700332 * 73.785491 *
*   103374 * 59.662548 * 71.414520 *
*   103375 * 59.073791 * 73.064453 *
*   103377 * 59.110363 * 74.281982 *
*   103378 * 59.589584 * 73.854858 *
*   103383 * 59.191154 * 74.931427 *
*   103384 * 59.572055 * 74.226806 *
*   103387 * 59.974269 * 73.909545 *
*   103388 * 59.411132 * 73.165374 *
*   103389 * 59.265701 * 74.207885 *
*   103395 * 59.321514 * -768.1906 *
*   103396 * 59.732059 * 73.974792 *
*   103397 * 59.575519 *  73.64505 *
*   103398 * 59.563522 * 72.154541 *
*   103399 * 59.312709 * 72.737945 *
*   103400 * 59.241607 * 72.545196 *
*   103403 * 59.049324 * 74.761505 *
*   103408 * 58.789882 * 72.820983 *
*   103410 * 59.708457 * 74.875824 *
*   103411 * 59.390811 * 74.697937 *
*   103412 * 59.549949 * 74.969879 *
*   103415 * 59.464107 * 74.409606 *
*   103416 * 59.544799 * 73.683136 *
*   103422 * 59.665767 * 74.997070 *
*   103424 * 59.813888 * 73.036773 *
*   103425 * 60.076225 * 73.127868 *
*   103429 * 59.537464 * 73.928680 *
*   103432 * 59.164039 * 73.903686 *
*   103434 * 59.273586 * 73.906066 *
*   103436 * 59.335807 * 73.795105 *
*   103439 * 59.307636 * 73.261871 *
*   103440 * 59.112957 * 72.970550 *
*   103442 * 59.750732 * 72.828033 *
*   103447 * 59.139556 * 73.345397 *
*   103448 * 59.852684 * 73.873260 *
*   103450 * 58.877815 * 74.029174 *
*   103453 * 59.001117 * 75.021637 *
*   103454 * 58.748348 * 73.941131 *
*   103457 * 59.259307 * 73.438232 *
*   103458 * 59.368507 * 74.275970 *
*   103462 * 59.534275 * 72.916137 *
*   103464 * 59.763145 * 76.055236 *
*   103466 * 59.588428 * 73.938842 *
*   103470 * 59.803112 * 75.137268 *
*   103471 * 59.244369 * 74.226776 *
*   103474 * 59.824043 * 74.940612 *
*   103478 * 59.806560 * 73.947387 *
*   103480 * 59.080921 * 73.924194 *
*   103481 * 58.877971 * 73.770965 *
*   103486 * 59.065902 * 72.869140 *
*   103487 * 59.188850 * 73.203002 *
*   103488 * 59.238563 * 75.486358 *
*   103490 * 59.261589 * 72.967834 *
*   103491 * 59.718383 * 72.968627 *
*   103492 * 59.137901 * 73.455017 *
*   103495 * 59.048580 * 75.401336 *
*   103496 * 59.466655 * 74.445312 *
*   103497 * 59.452262 * 75.060546 *
*   103498 * 59.654739 * 72.676666 *
*   103499 * 59.369133 * 75.522003 *
*   103503 * 59.547138 * 73.507720 *
*   103504 * 59.632785 * 73.428741 *
*   103505 * 59.412754 * 75.741333 *
*   103507 * 59.955219 * 74.494262 *
*   103508 * 59.521198 * 74.183929 *
*   103512 * 59.693515 * 73.971679 *
*   103513 * 59.348278 * 73.759918 *
*   103514 * 59.233764 * 74.478637 *
*   103515 * 59.413669 * 74.405304 *
*   103520 * 59.918155 * 73.595214 *
*   103522 * 59.626621 * 59.591125 *
*   103524 * 59.451320 * 74.436035 *
*   103530 * 58.967598 * 74.095794 *
*   103532 * 59.342746 * 74.615417 *
*   103533 * 58.788555 * 73.382995 *
*   103538 * 59.381469 * 74.256134 *
*   103539 * 59.370670 * 72.450988 *
*   103541 * 59.367965 * 74.182006 *
*   103543 * 59.054988 * 73.984588 *
*   103547 * 59.583553 * 74.501709 *
*   103548 * 59.429054 * 74.327179 *
*   103549 * 59.581302 * 74.398681 *
*   103557 * 59.620685 * 75.174194 *
*   103558 * 59.406551 * 74.319610 *
*   103559 * 59.616291 * 73.879852 *
*   103563 * 59.580600 * 72.875488 *
*   103565 * 59.637168 * 73.972320 *
*   103569 * 58.500438 * 5.0782470 *
*   103571 * 58.891914 * 72.942627 *
*   103579 * 59.453636 * 73.404602 *
*   103581 * 59.644870 * 74.226593 *
*   103584 * 59.357101 * 74.356018 *
*   103585 * 59.727973 * 72.676940 *
*   103586 * 60.317768 * -1156.398 *
*   103592 * 59.081470 * 73.087280 *
*   103593 * 59.980850 * 72.792114 *
*   103595 * 59.070484 * 72.586883 *
*   103596 * 59.342098 * 72.289062 *
*   103598 * 60.087291 * 72.865539 *
*   103602 * 59.373615 * 73.933410 *
*   103603 * 59.198177 * 72.407562 *
*   103606 * 59.468547 * 74.247161 *
*   103608 * 59.533481 *  73.81604 *
*   103609 * 59.360435 * 72.564819 *
*   103611 * 59.607540 * 72.798614 *
*   103612 * 58.939704 * 73.414154 *
*   103617 * 59.944416 * 73.986999 *
*   103622 * 59.632610 * 72.882110 *
*   103624 * 59.291530 * 73.842651 *
*   103625 * 59.293327 * 72.045043 *
*   103626 * 59.449180 * 75.115234 *
*   103631 * 59.724559 * 73.761413 *
*   103635 * 59.625911 * 74.411590 *
*   103636 * 59.314228 * 74.177002 *
*   103637 * 59.930648 * 72.647827 *
*   103638 * 59.216484 * 73.886505 *
*   103643 * 59.623558 * 73.516998 *
*   103649 * 59.438625 * 73.170501 *
*   103650 * 59.333004 * 73.522827 *
*   103652 * 58.506084 * 74.621612 *
*   103653 * 59.130229 * 73.444122 *
*   103656 * 58.926956 * 74.016571 *
*   103659 * 59.842628 * 74.783477 *
*   103660 * 59.507110 * 73.542846 *
*   103661 * 59.561096 * 73.651763 *
*   103663 * 59.019928 * 73.942108 *
*   103664 * 59.707874 * 73.732757 *
*   103666 * 59.174049 * 73.186126 *
*   103667 * 59.608234 * 75.875701 *
*   103668 * 59.544223 * 72.813018 *
*   103674 * 59.089344 * 74.793090 *
*   103675 * 59.332012 * 74.408081 *
*   103678 * 59.747287 * 72.513092 *
*   103680 * 59.757705 * 73.461059 *
*   103682 * 59.585392 * 73.814056 *
*   103684 * 58.966709 * 72.227172 *
*   103685 * 59.224582 * 74.801269 *
*   103686 * 59.167312 * 73.899871 *
*   103687 * 59.709552 * 58.462524 *
*   103692 * 59.581508 * 74.249267 *
*   103695 * 59.330665 * 73.786682 *
*   103696 * 59.471553 * 75.303527 *
*   103697 * 58.290710 * 74.308471 *
*   103699 * 59.565677 * 75.851928 *
*   103707 * 59.222206 * 72.855987 *
*   103711 * 58.791816 *  72.65448 *
*   103713 * 59.748291 * 73.249633 *
*   103716 * 59.250816 * 72.786407 *
*   103717 * 59.308486 * 73.474609 *
*   103719 * 59.508338 * 71.722595 *
*   103720 * 59.504123 * 72.994476 *
*   103724 * 59.567897 * 73.475097 *
*   103726 * 59.347400 * 73.369354 *
*   103729 * 59.558841 * 71.809661 *
*   103731 * 59.423576 * 74.059356 *
*   103737 * 59.459896 * 74.063598 *
*   103743 *  59.52771 * 74.895629 *
*   103744 * 59.065853 * 74.575653 *
*   103745 * 58.412838 * 72.188324 *
*   103746 * 59.584087 * 74.233764 *
*   103748 * 59.843105 * 74.810211 *
*   103750 * 59.553867 * 74.791351 *
*   103751 * 59.959690 * 74.950561 *
*   103753 * 59.731781 * 73.005157 *
*   103758 * 59.867164 * 74.052032 *
*   103760 * 59.828502 * 74.547210 *
*   103763 * 59.801796 * 74.738189 *
*   103764 * 59.385673 * 73.785675 *
*   103765 * 59.442131 * 72.788604 *
*   103766 * 59.492111 * 74.906555 *
*   103768 * 59.412399 * 74.459259 *
*   103773 * 59.216995 * 73.449585 *
*   103783 * 59.235992 * 73.444213 *
*   103785 * 59.823986 * 74.098388 *
*   103787 * 59.857338 * 72.730194 *
*   103789 * 59.486888 * 72.739929 *
*   103797 * 59.271076 * 73.803955 *
*   103798 * 59.290348 * 73.645233 *
*   103800 * 59.222595 * 72.868927 *
*   103802 * 59.294670 * 73.764709 *
*   103803 * 59.256565 * 74.315368 *
*   103804 * 59.767105 * 75.620147 *
*   103805 * 59.432918 * 73.182220 *
*   103806 * 59.428115 * 74.854034 *
*   103807 * 59.237751 * 73.701995 *
*   103810 * 59.813541 * 71.764648 *
*   103811 * 59.344947 * 73.322021 *
*   103812 * 59.445838 * 72.638458 *
*   103813 * 59.665317 * 74.781189 *
*   103815 * 59.022224 * 72.884613 *
*   103816 * 59.255168 * 73.962829 *
*   103817 * 59.100162 * 73.674957 *
*   103818 * 60.104915 * 72.275543 *
*   103819 * 59.543735 * 72.135528 *
*   103823 * 59.446132 * 74.906280 *
*   103825 * 59.499984 * 75.474029 *
*   103828 * 59.279232 * 73.310577 *
*   103836 * 59.424778 * 74.627807 *
*   103839 * 59.430160 * 74.750732 *
*   103842 * 59.651386 * 72.823944 *
*   103846 * 60.057201 * 74.374542 *
*   103847 * 59.457351 * 72.651397 *
*   103849 * 58.376487 * 73.212646 *
*   103850 * 59.222244 * 73.544769 *
*   103851 * 59.266933 * 73.684021 *
*   103852 * 59.467250 * -956.2133 *
*   103854 * 58.950317 * 73.453613 *
*   103857 * 59.129085 * 73.242431 *
*   103862 * 59.229938 * 74.257141 *
*   103863 * 59.351940 * 75.016815 *
*   103864 * 59.879901 * 72.854614 *
*   103865 * 59.235363 * 73.993072 *
*   103866 * 59.399425 * 74.373901 *
*   103869 * 59.576751 * 61.293335 *
*   103871 * 59.989528 * 74.222991 *
*   103872 * 59.640174 * 74.304779 *
*   103875 * 59.212017 * 73.493133 *
*   103876 * 60.066215 * 73.003784 *
*   103877 * 59.479263 * 62.175201 *
*   103878 * 59.579441 * 74.185333 *
*   103880 * 59.843452 * 72.964691 *
*   103882 * 59.961414 * 66.902648 *
*   103886 * 59.517574 * 74.496124 *
*   103888 * 59.610580 * 73.126129 *
*   103890 * 59.475833 * 73.226287 *
*   103891 * 59.419178 * 78.301361 *
*   103892 * 59.375087 * 74.135650 *
*   103893 * 59.056121 * 73.264434 *
*   103895 * 59.137668 * 71.103179 *
*   103899 * 59.457538 * 73.252929 *
*   103900 * 59.660942 * 73.854675 *
*   103901 * 59.404937 * 72.887634 *
*   103903 * 58.474079 * 72.779296 *
*   103906 * 59.350364 * 74.174682 *
*   103907 * 60.054573 * 74.185180 *
*   103909 * 59.429111 * 72.207428 *
*   103910 * 58.747062 * 75.152069 *
*   103912 * 59.499797 * 75.370361 *
*   103915 * 59.875892 * 73.502014 *
*   103916 * 59.372531 * 73.680633 *
*   103917 * 59.189861 * 72.839782 *
*   103922 * 59.353492 * 73.578186 *
*   103923 * 59.433624 * 74.913513 *
*   103924 * 59.577236 * 74.543853 *
*   103929 * 60.081264 * 73.385376 *
*   103932 * 59.067382 * 74.250030 *
*   103934 * 59.446514 * 75.221649 *
*   103941 * 58.875446 * 71.686309 *
*   103942 * 59.441066 * 72.123992 *
*   103943 * 59.214378 * 73.186126 *
*   103946 * 59.389743 * 74.992462 *
*   103948 * 59.504325 * 73.276367 *
*   103949 * 59.524295 * 74.055053 *
*   103950 * 59.666767 * 74.097168 *
*   103951 * 59.299766 * 73.438964 *
*   103952 * 59.380630 * 73.770507 *
*   103954 * 59.451839 * 75.609222 *
*   103955 * 59.647716 * 72.538574 *
*   103958 * 59.875492 * 74.483581 *
*   103963 * 59.964496 * 74.129180 *
*   103966 * 59.341461 * 75.811554 *
*   103972 * 59.566684 * 72.260101 *
*   103977 * 59.536270 * 74.170929 *
*   103978 * 59.309928 * 73.565460 *
*   103981 * 59.627697 * 72.767608 *
*   103982 * 59.827091 * 73.468902 *
*   103983 * 59.327953 * 74.617889 *
*   103986 * 58.888668 * 74.777893 *
*   103991 * 59.719661 * 74.752746 *
*   103994 * 59.188430 * 72.002044 *
*   103995 * 59.686622 * 74.131988 *
*   104003 * 59.145320 * 72.627502 *
*   104006 * 59.388168 * 73.612396 *
*   104007 * 59.331337 * 72.118133 *
*   104009 * 59.436283 * 73.588989 *
*   104010 * 59.112880 * 74.764892 *
*   104012 * 59.735221 * 75.769043 *
*   104014 * 59.128372 * 74.009674 *
*   104021 * 59.119052 * 74.274597 *
*   104022 * 59.340812 * 72.665985 *
*   104023 * 59.743595 * 73.571258 *
*   104028 * 59.479213 * 74.620636 *
*   104029 * 59.590789 * 73.647338 *
*   104030 * 59.322158 * 74.296722 *
*   104034 * 59.509758 * 74.156219 *
*   104035 * 59.705715 * 73.338531 *
*   104036 * 59.447780 * 73.810211 *
*   104039 * 59.291389 * 73.670776 *
*   104040 * 58.741413 * 74.218322 *
*   104041 * 59.848865 * 74.606414 *
*   104042 * 59.664466 * 73.935241 *
*   104045 * 59.623374 * 74.452575 *
*   104047 * 59.908977 * 74.201538 *
*   104050 * 59.385963 * 73.415222 *
*   104055 * 59.532241 * 73.438873 *
*   104062 * 59.530357 * 73.773132 *
*   104065 * 59.274204 * 73.855011 *
*   104067 * 59.281234 * 72.799652 *
*   104070 * 59.118713 * 73.472717 *
*   104071 * 59.698337 * 73.636474 *
*   104073 * 59.510448 * 74.141021 *
*   104076 * 59.034183 * 72.842987 *
*   104080 * 59.803848 * 73.244384 *
*   104081 * 59.153160 * -1049.055 *
*   104082 * 59.535285 * 75.055908 *
*   104083 * 59.092437 * 73.398315 *
*   104084 * 59.597690 * 74.654235 *
*   104085 * 59.933071 * 74.698455 *
*   104088 * 59.152126 * 73.359680 *
*   104090 * 59.672054 * 74.514556 *
*   104091 * 59.932045 * 72.743713 *
*   104093 * 59.443500 * 75.132385 *
*   104095 * 58.953899 * 73.088623 *
*   104096 * 59.277168 * 72.891754 *
*   104099 * 59.878414 * 74.089782 *
*   104100 * 59.565330 * 73.597869 *
*   104101 * 59.630580 * 75.532379 *
*   104102 * 59.241191 * 72.317260 *
*   104105 * 59.135650 * 73.667877 *
*   104108 * 58.988071 * 76.119506 *
*   104110 * 59.859336 * 72.949646 *
*   104111 * 58.929294 * 72.967987 *
*   104112 * 59.421691 * 72.639556 *
*   104114 * 59.049873 * 74.390594 *
*   104118 * 59.323009 * 72.667388 *
*   104120 * 58.781372 * 74.695282 *
*   104121 * 59.474887 * 72.722656 *
*   104125 * 59.635444 * 75.088348 *
*   104128 * 58.725219 * 73.702270 *
*   104136 *  59.24506 * 73.185760 *
*   104138 * 59.429260 * 73.250671 *
*   104141 * 58.528457 * 74.223541 *
*   104147 * 58.982883 * 74.197876 *
*   104150 * 58.871009 * 74.046112 *
*   104151 * 59.286739 * 72.056457 *
*   104153 *  59.02248 * 75.495605 *
*   104155 * 59.776542 * 74.319946 *
*   104157 * 59.464893 * 72.361602 *
*   104158 * 59.558647 * 73.706054 *
*   104161 * 58.433437 * 74.086944 *
*   104164 * 58.766445 * 74.481536 *
*   104165 * 59.209301 * 73.240631 *
*   104166 * 58.944881 * 73.935668 *
*   104167 * 59.846519 * 73.865234 *
*   104168 * 59.217926 * 73.552581 *
*   104169 * 59.479564 * 74.015136 *
*   104172 * 59.975498 * 73.570678 *
*   104173 * 59.163970 * 74.582428 *
*   104176 * 59.451808 * 73.156738 *
*   104180 * 59.796592 * 74.385894 *
*   104181 * 59.772453 * 76.269439 *
*   104183 * 59.564045 * 73.539611 *
*   104186 * 59.314319 * 74.282257 *
*   104188 * 58.968185 * 73.741272 *
*   104193 * 58.965320 *  73.03125 *
*   104195 * 59.032039 * 74.532135 *
*   104196 * 58.490940 * 74.315734 *
*   104197 * 58.722457 * 72.565307 *
*   104199 *  59.45961 * 72.868927 *
*   104201 * 59.503280 * 74.354339 *
*   104203 * 59.108684 * 74.075500 *
*   104204 * 59.761764 * 73.179046 *
*   104207 * 59.819515 *  73.81073 *
*   104209 * 59.244575 * 74.845275 *
*   104212 * 59.231403 * 74.164520 *
*   104213 * 58.869640 * 73.180633 *
*   104214 * 59.518905 * 73.047485 *
*   104215 * 59.213005 * 72.687835 *
*   104220 * 58.911315 * 73.718139 *
*   104221 * 59.365535 * 73.703613 *
*   104223 * 59.216133 * 74.929168 *
*   104224 * 59.273952 * 73.783752 *
*   104231 * 59.933929 * 74.018737 *
*   104232 * 59.485118 * 73.489929 *
*   104233 * 59.429019 * 74.451538 *
*   104234 * 59.561939 * 72.502075 *
*   104236 * 59.326271 *  74.21698 *
*   104238 * 59.095344 * 74.691864 *
*   104239 * 59.326461 * 72.169952 *
*   104240 * 58.962448 * 74.579895 *
*   104243 * 59.262119 * 73.346710 *
*   104244 * 59.367248 * 73.862884 *
*   104245 * 59.124282 * 74.790008 *
*   104246 * 59.874698 * 72.986999 *
*   104247 * 59.566280 * 74.517791 *
*   104249 * 59.716995 * 74.591918 *
*   104250 * 59.228881 * 75.076171 *
*   104251 * 59.690208 * 72.421905 *
*   104252 * 59.572845 * 75.069549 *
*   104254 * 59.761978 * 75.128967 *
*   104258 * 59.343334 * 73.751312 *
*   104259 * 58.688755 * 74.815704 *
*   104260 * 59.332008 * 73.241210 *
*   104262 * 59.998466 * 73.937439 *
*   104264 * 59.554191 * 74.782012 *
*   104265 * 59.056583 * 73.641754 *
*   104268 * 60.109439 * 73.831237 *
*   104269 * 59.519184 * 73.104644 *
*   104270 * 59.542480 * 74.068817 *
*   104271 * 59.129959 * 73.424041 *
*   104275 * 59.737667 * 73.769470 *
*   104277 * 59.014507 * 72.909332 *
*   104279 * 59.608696 * 74.988586 *
*   104280 * 50.769901 * 73.152984 *
*   104287 * 58.885063 * 74.050994 *
*   104290 * 59.360408 * 74.261749 *
*   104292 * 59.048450 * 74.041992 *
*   104297 * 59.378509 * 72.385772 *
*   104301 * 59.368263 * 73.761383 *
*   104317 * 59.680221 * 73.570312 *
*   104319 * 59.372665 * 73.865631 *
*   104321 *  59.46978 * 73.017089 *
*   104325 * 59.324699 * 73.709594 *
*   104330 *   59.3848 * 74.158386 *
*   104332 * 59.510265 * 75.361908 *
*   104333 * 59.771339 * 72.660675 *
*   104334 * 59.715911 * 74.784668 *
