************************************
*   Event  *     PH    *    ToF    *
*     1230 * 16.966224 * 72.829467 *
*     1235 * 16.891841 * 78.283081 *
*     1240 * 16.956979 * 77.213653 *
*     1241 * 33.654434 * 77.102905 *
*     1247 * 16.957563 * 70.876434 *
*     1250 * 17.122169 * 76.284027 *
*     1251 * 17.380222 * 75.189605 *
*     1257 * 16.995939 * 74.890777 *
*     1261 *  17.09272 * 71.353241 *
*     1263 * 16.712932 * 75.570129 *
*     1264 * 16.968391 * 75.944335 *
*     1266 * 17.417583 * 70.546051 *
*     1268 * 16.824443 * 69.376800 *
*     1272 * 16.775804 * 70.717651 *
*     1273 * 16.680295 * 72.861022 *
*     1279 * 16.475233 * 77.547912 *
*     1280 * 16.662466 * 73.495636 *
*     1283 * 16.915985 * 76.357666 *
*     1285 * 16.730184 * 73.547485 *
*     1290 * 16.822547 * 70.390441 *
*     1293 * 17.171808 * 76.328735 *
*     1294 * 16.736078 * 75.402435 *
*     1297 * 16.891092 * 70.164062 *
*     1300 * 16.565269 * 74.211303 *
*     1302 * 17.164623 * -1240.468 *
*     1303 * 16.976570 *  70.02771 *
*     1307 * 17.070777 * 78.097229 *
*     1313 * 16.868719 * 72.611419 *
*     1320 * 16.808103 * 74.885253 *
*     1328 * 16.908819 * 73.859771 *
*     1329 * 16.780742 * 69.864349 *
*     1333 * 16.912832 * 78.837585 *
*     1343 * 16.662790 * 71.929870 *
*     1345 * 16.955375 * 69.793212 *
*     1347 * 16.913509 * -1264.924 *
*     1353 * 16.446992 * 77.803192 *
*     1357 * 16.899179 * 71.803863 *
*     1359 * 16.733089 * 71.155548 *
*     1360 * 16.548774 * 72.692688 *
*     1361 *  17.26231 * 70.053375 *
*     1364 * 16.653871 * 75.544708 *
*     1366 * 16.926347 * 72.052368 *
*     1367 * 17.020769 * 78.177093 *
*     1376 * 17.103399 * 74.625549 *
*     1377 * 17.367670 * -1186.968 *
*     1379 * 17.249885 * 71.855285 *
*     1382 * 16.444564 * 71.421600 *
*     1392 * 16.977956 * -746.0505 *
*     1399 * 17.032339 * -811.4309 *
*     1401 * 16.628149 * 77.622955 *
*     1405 * 17.058183 * 67.467376 *
*     1407 * 17.058544 * 77.195007 *
*     1408 * 16.991489 * 70.428436 *
*     1415 * 17.374744 * 74.420227 *
*     1420 * 17.400402 * 73.342010 *
*     1425 * 16.547758 * 77.501953 *
*     1426 * 17.104507 * 67.986358 *
*     1431 * 16.729257 * 75.530792 *
*     1432 * 16.402027 * -307.2993 *
*     1435 * 16.114610 * 71.304290 *
*     1436 * 17.151660 * 71.520690 *
*     1439 * 16.982051 * 70.667938 *
*     1442 * 16.567771 * 73.180358 *
*     1443 * 16.569145 * 69.753723 *
*     1446 * 33.895385 * 74.965606 *
*     1450 * 16.932899 * 74.409729 *
*     1453 * 16.951955 * 72.130218 *
*     1455 * 17.015165 * 74.868377 *
*     1465 * 16.785831 * 76.487640 *
*     1466 * 16.715324 * 71.035919 *
*     1467 * 16.950580 * 71.613494 *
*     1469 * 16.819023 * 71.826324 *
*     1477 * 16.855665 * 69.409698 *
*     1486 * 17.230817 * 72.836517 *
