============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(1,4 MeV) ==> Mylar+Aluminium( 1261 A) ==================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   17  2 ,1369744E+07   1262800E-03 -,5678E+00 -,1770E-01   ,9999988 -,0013079 -,0008583
T   18  2 ,1368416E+07   1262207E-03  ,6760E+00 -,7387E+00   ,9999982  ,0017434 -,0006885
T   19  2 ,1366998E+07   1262068E-03  ,5607E+00  ,6211E+00   ,9999976  ,0005535  ,0021181
T   20  2 ,1370086E+07   1262555E-03 -,1642E+01  ,2489E+01   ,9999524 -,0058585  ,0078058
T   21  2 ,1368325E+07   1261266E-03  ,1252E+01 -,2131E+00   ,9999951  ,0030754 -,0005582
T   22  2 ,1367458E+07   1262462E-03 -,3582E+01  ,2563E+00   ,9999500 -,0094081 -,0033843
T   23  2 ,1368405E+07   1261932E-03 -,9096E+00  ,7448E+00   ,9999851 -,0049096  ,0023902
T   24  2 ,1371105E+07   1262433E-03  ,2801E+00  ,2699E+00   ,9999850 -,0040017 -,0037498
T   25  2 ,1366716E+07   1261509E-03  ,2730E+00 -,4006E+01   ,9999712  ,0006282 -,0075583
T   26  2 ,1365622E+07   1261298E-03 -,1007E+00 -,8529E-01   ,9999956 -,0022406 -,0019378
T   27  2 ,1367672E+07   1261538E-03  ,2375E+01 -,6991E+00   ,9999899  ,0044995 -,0000318
T   28  2 ,1367591E+07   1263227E-03 -,4876E+00  ,3021E+00   ,9999996 -,0001236  ,0009234
